epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,32768,1,par,0,12.5878,0.920558,0.833221,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,32768,1,par,mean,12.5878,0.920558,0.833221,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,65536,1,par,0,23.02,0.956559,1.94211,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,65536,1,par,mean,23.02,0.956559,1.94211,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,131072,1,par,0,41.7109,0.976025,4.5481,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,131072,1,par,mean,41.7109,0.976025,4.5481,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,0,76.4419,0.986918,10.5982,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,mean,76.4419,0.986918,10.5982,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,0,138.187,0.992763,23.3371,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,mean,138.187,0.992763,23.3371,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,32768,1,par,0,15.8629,0.93696,0.295356,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,32768,1,par,mean,15.8629,0.93696,0.295356,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,65536,1,par,0,30.2421,0.966933,1.02201,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,65536,1,par,mean,30.2421,0.966933,1.02201,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,131072,1,par,0,56.0874,0.982171,2.32079,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,131072,1,par,mean,56.0874,0.982171,2.32079,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,0,105.493,0.990521,5.42605,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,mean,105.493,0.990521,5.42605,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,0,191.329,0.994773,11.5049,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,mean,191.329,0.994773,11.5049,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,32768,1,par,0,19.4857,0.94868,0.150618,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,32768,1,par,mean,19.4857,0.94868,0.150618,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,65536,1,par,0,38.7798,0.974213,0.568274,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,65536,1,par,mean,38.7798,0.974213,0.568274,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,131072,1,par,0,73.94,0.986476,1.30468,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,131072,1,par,mean,73.94,0.986476,1.30468,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,0,144.116,0.993061,2.88947,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,mean,144.116,0.993061,2.88947,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,0,263.454,0.996204,6.38642,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,mean,263.454,0.996204,6.38642,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,32768,1,par,0,9.96385,0.899637,4.3563,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,32768,1,par,mean,9.96385,0.899637,4.3563,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,65536,1,par,0,18.2872,0.945317,10.1319,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,65536,1,par,mean,18.2872,0.945317,10.1319,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,131072,1,par,0,33.547,0.970191,22.3446,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,131072,1,par,mean,33.547,0.970191,22.3446,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,0,61.9941,0.983869,53.2919,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,mean,61.9941,0.983869,53.2919,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,0,113.58,0.991196,124.52,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,mean,113.58,0.991196,124.52,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,32768,1,par,0,12.762,0.921642,2.10564,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,32768,1,par,mean,12.762,0.921642,2.10564,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,65536,1,par,0,24.1519,0.958595,5.51221,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,65536,1,par,mean,24.1519,0.958595,5.51221,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,131072,1,par,0,45.1747,0.977864,12.168,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,131072,1,par,mean,45.1747,0.977864,12.168,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,0,85.3574,0.988285,28.1468,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,mean,85.3574,0.988285,28.1468,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,0,157.386,0.993646,61.4753,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,mean,157.386,0.993646,61.4753,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,32768,1,par,0,16.4538,0.939224,1.10972,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,32768,1,par,mean,16.4538,0.939224,1.10972,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,65536,1,par,0,32.4413,0.969175,2.85026,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,65536,1,par,mean,32.4413,0.969175,2.85026,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
