epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,262144,1,par,0,76.4419,0.986918,10.5835,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,mean,76.4419,0.986918,10.5835,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,par,0,76.4419,0.986918,5.28462,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,par,mean,76.4419,0.986918,5.28462,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,par,0,76.4419,0.986918,2.96416,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,par,mean,76.4419,0.986918,2.96416,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,par,0,76.4419,0.986918,1.74292,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,par,mean,76.4419,0.986918,1.74292,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,par,0,76.4419,0.986918,1.55474,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,par,mean,76.4419,0.986918,1.55474,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,0,138.187,0.992763,24.5706,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,mean,138.187,0.992763,24.5706,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,par,0,138.187,0.992763,12.5537,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,par,mean,138.187,0.992763,12.5537,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
