epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,4096,1,seq,0,3.51023,0.715118,3.6561,0.486302,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,4096,1,seq,mean,3.51023,0.715118,3.6561,0.486302,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,4096,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,4096,1,par,0,3.51023,0.715118,3.55655,0.481679,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,4096,1,par,mean,3.51023,0.715118,3.55655,0.481679,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,4096,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,seq,0,5.55243,0.819899,9.6173,1.20272,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,seq,mean,5.55243,0.819899,9.6173,1.20272,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,par,0,5.55243,0.819899,9.59089,1.21075,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,par,mean,5.55243,0.819899,9.59089,1.21075,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,16384,1,seq,0,9.08605,0.889941,25.8186,2.85226,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,16384,1,seq,mean,9.08605,0.889941,25.8186,2.85226,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,16384,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,16384,1,par,0,9.08605,0.889941,25.7842,2.85779,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,16384,1,par,mean,9.08605,0.889941,25.7842,2.85779,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,4096,1,seq,0,5.12982,0.805061,2.19351,0.343902,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,4096,1,seq,mean,5.12982,0.805061,2.19351,0.343902,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,4096,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,4096,1,par,0,5.12982,0.805061,2.18574,0.343374,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,4096,1,par,mean,5.12982,0.805061,2.18574,0.343374,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,4096,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,8192,1,seq,0,8.44312,0.88156,5.64592,0.833183,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,8192,1,seq,mean,8.44312,0.88156,5.64592,0.833183,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,8192,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,8192,1,par,0,8.44312,0.88156,5.64475,0.839309,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,8192,1,par,mean,8.44312,0.88156,5.64475,0.839309,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,1,seq,0,14.1227,0.929192,14.5506,1.966,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,1,seq,mean,14.1227,0.929192,14.5506,1.966,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,1,par,0,14.1227,0.929192,14.577,1.97682,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,1,par,mean,14.1227,0.929192,14.577,1.97682,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,4096,1,seq,0,9.05616,0.889578,1.28685,0.223257,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,4096,1,seq,mean,9.05616,0.889578,1.28685,0.223257,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,4096,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,4096,1,par,0,9.05616,0.889578,1.28264,0.222855,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,4096,1,par,mean,9.05616,0.889578,1.28264,0.222855,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,4096,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,seq,0,15.3975,0.935054,2.98427,0.550227,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,seq,mean,15.3975,0.935054,2.98427,0.550227,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,par,0,15.3975,0.935054,2.97775,0.554608,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,par,mean,15.3975,0.935054,2.97775,0.554608,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,1,seq,0,26.1216,0.961717,7.76559,1.3452,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,1,seq,mean,26.1216,0.961717,7.76559,1.3452,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,1,par,0,26.1216,0.961717,7.81881,1.36641,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,1,par,mean,26.1216,0.961717,7.81881,1.36641,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,4096,1,seq,0,2.56421,0.610016,14.8937,1.08625,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,4096,1,seq,mean,2.56421,0.610016,14.8937,1.08625,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,4096,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,4096,1,par,0,2.56421,0.610016,14.6042,1.08261,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,4096,1,par,mean,2.56421,0.610016,14.6042,1.08261,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,4096,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,1,seq,0,3.94471,0.746496,46.3501,2.74072,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,1,seq,mean,3.94471,0.746496,46.3501,2.74072,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,1,par,0,3.94471,0.746496,46.2376,2.74674,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,1,par,mean,3.94471,0.746496,46.2376,2.74674,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,seq,0,6.53471,0.846971,118.748,6.50837,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,seq,mean,6.53471,0.846971,118.748,6.50837,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
