epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,8192,1,par,0,5.55243,0.819899,9.64154,1.21096,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,par,mean,5.55243,0.819899,9.64154,1.21096,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,2,par,0,5.55243,0.819899,5.33224,1.2101,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,2,par,mean,5.55243,0.819899,5.33224,1.2101,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,4,par,0,5.55243,0.819899,3.47446,1.19859,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,4,par,mean,5.55243,0.819899,3.47446,1.19859,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,8,par,0,5.55243,0.819899,2.90155,1.19995,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,8,par,mean,5.55243,0.819899,2.90155,1.19995,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,16,par,0,5.55243,0.819899,2.88055,1.20563,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,16,par,mean,5.55243,0.819899,2.88055,1.20563,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
