epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,32768,1,par,0,15.4319,0.935199,3.03805,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,32768,1,par,mean,15.4319,0.935199,3.03805,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,65536,1,par,0,27.1652,0.963188,6.4118,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,65536,1,par,mean,27.1652,0.963188,6.4118,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,131072,1,par,0,48.7574,0.97949,13.3619,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,131072,1,par,mean,48.7574,0.97949,13.3619,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,0,87.1699,0.988528,28.3437,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,mean,87.1699,0.988528,28.3437,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,0,157.908,0.993667,60.6151,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,mean,157.908,0.993667,60.6151,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,32768,1,par,0,24.4296,0.959066,2.01979,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,32768,1,par,mean,24.4296,0.959066,2.01979,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,65536,1,par,0,43.4595,0.97699,4.27733,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,65536,1,par,mean,43.4595,0.97699,4.27733,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,131072,1,par,0,78.8164,0.987312,9.07429,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,131072,1,par,mean,78.8164,0.987312,9.07429,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,0,141.526,0.992934,19.472,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,mean,141.526,0.992934,19.472,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,0,257.844,0.996122,41.498,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,mean,257.844,0.996122,41.498,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,32768,1,par,0,45.9152,0.978221,1.55013,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,32768,1,par,mean,45.9152,0.978221,1.55013,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,65536,1,par,0,82.5525,0.987887,3.22687,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,65536,1,par,mean,82.5525,0.987887,3.22687,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
