epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,262144,1,par,0,87.1699,0.988528,28.7138,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,mean,87.1699,0.988528,28.7138,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,par,0,87.1699,0.988528,16.3512,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,par,mean,87.1699,0.988528,16.3512,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,par,0,87.1699,0.988528,12.2953,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,par,mean,87.1699,0.988528,12.2953,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,par,0,87.1699,0.988528,12.2551,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,par,mean,87.1699,0.988528,12.2551,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,par,0,87.1699,0.988528,10.6936,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,par,mean,87.1699,0.988528,10.6936,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,omp_task,0,87.1699,0.988528,27.5018,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,omp_task,mean,87.1699,0.988528,27.5018,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,omp_task,0,87.1699,0.988528,15.9352,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,omp_task,mean,87.1699,0.988528,15.9352,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,2,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,omp_task,0,87.1699,0.988528,13.5771,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,omp_task,mean,87.1699,0.988528,13.5771,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,4,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,omp_task,0,87.1699,0.988528,13.5763,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,omp_task,mean,87.1699,0.988528,13.5763,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,8,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,omp_task,0,87.1699,0.988528,12.5832,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,omp_task,mean,87.1699,0.988528,12.5832,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,16,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,0,157.908,0.993667,60.092,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,mean,157.908,0.993667,60.092,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,par,0,157.908,0.993667,35.3197,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,par,mean,157.908,0.993667,35.3197,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,4,par,0,157.908,0.993667,27.0257,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,4,par,mean,157.908,0.993667,27.0257,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,8,par,0,157.908,0.993667,26.9528,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,8,par,mean,157.908,0.993667,26.9528,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,16,par,0,157.908,0.993667,23.5337,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,16,par,mean,157.908,0.993667,23.5337,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,omp_task,0,157.908,0.993667,60.444,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,omp_task,mean,157.908,0.993667,60.444,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,1,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,omp_task,0,157.908,0.993667,35.0236,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,omp_task,mean,157.908,0.993667,35.0236,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
